"","average_distances"
"1",172.795108552263
"2",157.744553594553
"3",145.619261373637
"4",162.764861000751
"5",162.764861000751
"6",158.411630394886
"7",136.809884414707
"8",166.782945500951
"9",166.816420065455
"10",166.816420065455
"11",166.816420065455
"12",185.964411103112
"13",185.964411103112
"14",182.049229987031
"15",172.75450069817
"16",184.962166659586
"17",191.773159727687
"18",178.003805178825
"19",178.003805178825
"20",142.332598651376
"21",133.017807439764
"22",133.665159851303
"23",155.139620616405
"24",154.073404363675
"25",150.269537350869
"26",143.117796328667
"27",190.128517962284
"28",190.128517962284
"29",185.97318683575
"30",175.707394546066
"31",182.673855285103
"32",178.673564494656
"33",182.602239504239
"34",170.492786974992
"35",155.059457895462
"36",125.508859779423
"37",99.9130363023139
"38",93.3868809260331
"39",124.083858921783
"40",124.083858921783
"41",124.083858921783
"42",129.587312507193
"43",172.48209762401
"44",141.165283603635
"45",141.165283603635
"46",157.585219921564
"47",168.460956793475
"48",168.460956793475
"49",166.825050792985
"50",172.019568744912
"51",182.66904428476
"52",182.66904428476
"53",189.940887514659
"54",145.914993326564
"55",144.461999707259
"56",126.299185199235
"57",142.994104601455
"58",112.512679221895
"59",94.7918856956158
"60",101.773524731684
"61",115.056122156353
"62",100.000999621789
"63",117.84082905257
"64",117.84082905257
"65",127.792201493816
"66",124.599651905401
"67",135.953672806748
"68",160.90807343135
"69",154.476249648793
"70",144.373171709845
"71",139.355318367883
"72",166.511205222602
"73",162.730858783546
"74",166.637926965214
"75",180.778277510529
"76",196.358901120421
"77",186.745975878506
"78",200.252545455698
"79",201.070518280635
"80",218.087768529871
"81",231.30024109677
"82",234.49377335122
"83",231.023972508359
"84",224.979521369499
"85",209.931258801336
"86",213.090200587656
"87",195.974209071765
"88",173.47218935835
"89",207.455713089619
"90",198.206738824042
"91",188.531540351725
"92",199.722460237363
"93",173.36733709685
"94",181.527461981192
"95",164.13427097852
"96",191.375887320973
"97",174.741731265034
"98",165.718256383171
"99",187.99059384316
"100",183.172234257947
"101",156.370944968685
"102",155.451873618045
"103",170.521503935349
"104",179.6135970582
"105",210.314686402532
"106",258.161961365108
"107",277.102289292643
"108",247.097646804232
"109",233.933972222021
"110",196.58959003625
"111",182.821147087214
"112",171.127247163133
"113",186.619436498705
"114",187.966270868164
"115",194.433785305683
"116",212.588930634427
"117",218.398030173239
"118",237.620570970474
"119",219.87825110427
"120",150.333335249489
"121",172.826561859504
"122",202.124863199299
"123",202.779386686317
"124",211.963496286412
"125",200.126044924602
"126",169.964626851809
"127",138.754409848223
"128",155.794165616086
"129",151.981716086548
"130",162.60969642663
"131",188.35584159595
"132",189.950176677242
"133",204.871398390648
"134",229.034284051667
"135",238.480470607355
"136",206.731276918915
"137",214.032745506451
"138",203.944055132249
"139",200.745401527808
"140",192.843796386062
"141",194.438176815126
