"","average_distances"
"1",194.742715795453
"2",194.742715795453
"3",221.548663503505
"4",219.097301264075
"5",219.097301264075
"6",225.326544439881
"7",222.056670228444
"8",287.632477355287
"9",287.632477355287
"10",265.791205515754
"11",255.521191235358
"12",290.315058629885
"13",290.315058629885
"14",264.816587014065
"15",228.099179860819
"16",224.545629299854
"17",156.507697634867
"18",167.562891801605
"19",167.562891801605
"20",155.983486474632
"21",167.842990480279
"22",174.421406550772
"23",145.435107645597
"24",137.767771371355
"25",137.767771371355
"26",153.627546691499
"27",285.120889604974
"28",264.321710712873
"29",243.079187956738
"30",243.079187956738
"31",233.167213654845
"32",236.614205033049
"33",239.674161011111
"34",249.88235458469
"35",265.142158232023
"36",254.896566716478
"37",254.896566716478
"38",249.551578275031
"39",249.551578275031
"40",192.386305557233
"41",211.945174076777
"42",211.945174076777
"43",187.584998449868
"44",193.197867397906
"45",189.434510255672
"46",189.434510255672
"47",136.076289034182
"48",150.308829721355
"49",150.656942524676
"50",150.656942524676
"51",160.954988895033
"52",160.954988895033
"53",145.525822877597
"54",174.562193774518
"55",158.884498620642
"56",158.884498620642
"57",169.143406015484
"58",169.143406015484
"59",167.07062709048
"60",167.07062709048
"61",182.120365397551
"62",182.120365397551
"63",218.349150659716
"64",218.349150659716
"65",218.349150659716
"66",236.413114139581
"67",216.880987085809
"68",208.947014492357
"69",217.387801456919
"70",217.525949797649
"71",224.682058305187
"72",224.283640612337
"73",200.354262506617
"74",200.354262506617
"75",196.350777152254
"76",186.098390087208
"77",186.96232153246
"78",186.96232153246
"79",186.96232153246
"80",166.418114010647
"81",166.418114010647
"82",180.658422695492
"83",163.623325901782
"84",169.844602337281
"85",158.926966782332
"86",148.77266498051
"87",141.233561830706
"88",153.278378291992
"89",134.624007020083
"90",133.910050038662
"91",132.13911108497
"92",134.839257885328
"93",151.169894181187
"94",135.209411765175
"95",158.665013079844
"96",142.669402230628
"97",133.618049675526
"98",104.794381821591
"99",118.692187125929
"100",114.24929674906
"101",110.66335329156
"102",126.287317362255
"103",123.696472295986
"104",96.6339156998471
"105",101.744686711553
"106",79.8578112687264
"107",79.8578112687264
"108",74.0783622489476
"109",89.0863720122685
"110",99.814928677745
"111",104.252337850576
"112",99.8651486312181
"113",107.018479411761
"114",111.836292157137
"115",105.724516097585
"116",109.219248532638
"117",113.919438664099
"118",117.266695679951
"119",102.503824328825
"120",93.8556873916903
"121",84.4614743063173
"122",103.713519917029
"123",101.521142250247
"124",105.753496481244
"125",108.167655874183
"126",121.3656691252
"127",144.807087742775
"128",117.950921326449
"129",124.215361738639
"130",123.636847038827
"131",126.169398171247
"132",119.791790675383
"133",111.988144727863
"134",129.691907180386
"135",129.862130052063
"136",136.49314206743
"137",119.439850521566
"138",137.851579591012
"139",147.557143285547
"140",130.638377373954
"141",116.253754773658
"142",131.852472295735
"143",145.197125793038
"144",182.141479501738
"145",151.723854132149
"146",145.29591531788
"147",150.505442826815
"148",180.18381764677
"149",183.654179180484
"150",201.020251255624
"151",201.163245185756
"152",199.28590033274
"153",199.28590033274
"154",188.041373921244
"155",210.693733952757
"156",228.81829195888
"157",207.622441091393
"158",243.289052326838
"159",243.289052326838
"160",219.739997115371
"161",236.69040700275
"162",227.321366302475
"163",227.321366302475
"164",238.923682801197
"165",239.42285592564
"166",271.882357006224
"167",258.47228209239
"168",210.923201014358
"169",202.311116714641
"170",204.050592964352
"171",219.276909120254
"172",205.876221206344
"173",222.987502963765
"174",232.447389320506
"175",232.447389320506
"176",252.002954903417
"177",257.45067508212
"178",220.38586703496
"179",233.269363774054
"180",232.249353124367
"181",234.754995438695
"182",247.180525497331
"183",237.717636008018
"184",239.02205389522
"185",233.100133296161
"186",245.657851129901
"187",228.251063657794
"188",245.698786009395
"189",254.857509039679
"190",241.736740252505
"191",261.924260189575
"192",256.553083287562
"193",225.619397683186
"194",256.434801793463
"195",264.707892458735
"196",249.675590470001
"197",257.420848426358
"198",257.420848426358
"199",280.544132837121
"200",274.701736335392
"201",283.134313815018
"202",286.302167711163
"203",276.804686696676
"204",274.623261483132
"205",279.776844950604
"206",279.776844950604
"207",287.981987848181
"208",276.995822736243
"209",274.712261192179
"210",248.537464917005
"211",251.81065713867
"212",246.002333195934
"213",257.394945839705
"214",298.635421791734
"215",327.559137351725
