"","average_distances"
"1",197.088743779965
"2",197.088743779965
"3",184.730738415073
"4",166.042874851641
"5",173.048389340985
"6",188.246761657135
"7",194.390346804506
"8",189.966637628353
"9",189.966637628353
"10",202.869605392167
"11",223.777932561162
"12",244.727943967111
"13",244.727943967111
"14",212.830618883588
"15",180.863814929987
"16",180.863814929987
"17",193.662578178313
"18",190.240263101586
"19",203.874217742044
"20",214.230043053959
"21",151.318696311659
"22",152.662262941788
"23",152.662262941788
"24",157.193692229227
"25",160.39573944377
"26",170.775921373292
"27",166.317758700087
"28",167.810586591775
"29",187.951430269993
"30",164.234847075196
"31",147.383975933187
"32",145.900965092689
"33",206.873152428757
"34",220.874993127688
"35",240.019704646544
"36",250.693640428505
"37",235.708059415816
"38",230.985330299206
"39",251.287025494163
"40",254.472873262035
"41",218.729101415591
"42",230.575495840615
"43",218.781038870493
"44",214.583115950769
"45",215.732344963362
"46",212.584384991001
"47",206.952075099062
"48",192.981726350592
"49",138.389234010482
"50",133.879293117917
"51",176.904702734752
"52",176.904702734752
"53",159.692188838886
"54",188.552371531132
"55",189.232122862537
"56",224.701270654702
"57",161.948285659817
"58",139.65028066329
"59",139.65028066329
"60",114.162257453257
"61",157.909411830779
"62",134.04940536658
"63",124.172534452515
"64",119.786732518936
"65",108.690406558887
"66",117.815209372587
"67",129.062085293081
"68",118.611109655459
"69",134.481534787027
"70",134.481534787027
"71",119.845384023766
"72",146.9211599521
"73",146.9211599521
"74",159.724363719526
"75",174.492508020565
"76",175.588597951036
"77",188.179788094121
"78",185.642266264772
"79",203.413012370337
"80",218.800933484154
"81",218.800933484154
"82",218.800933484154
"83",206.57749546474
"84",214.798537919404
"85",214.798537919404
"86",214.798537919404
"87",214.798537919404
"88",207.409754092641
"89",238.961951641324
"90",195.049909391331
"91",166.698235849428
"92",166.698235849428
"93",162.095581340953
"94",172.869918862577
"95",163.011487453848
"96",167.818025185432
"97",167.818025185432
"98",121.574373041658
"99",124.008808479711
"100",138.75979287966
"101",123.038128766419
"102",131.329777619026
"103",110.141048010515
"104",106.495659535058
"105",74.6985178841206
"106",71.0695254109461
"107",96.0278251414719
