"","average_distances"
"1",204.336991589252
"2",204.336991589252
"3",269.379214960657
"4",293.375857114126
"5",249.918565529345
"6",249.918565529345
"7",244.881345184853
"8",289.001549563877
"9",289.001549563877
"10",273.778060672351
"11",273.778060672351
"12",273.778060672351
"13",273.778060672351
"14",273.778060672351
"15",270.243576124515
"16",267.967097112997
"17",222.882821482671
"18",222.882821482671
"19",221.068701730335
"20",221.068701730335
"21",236.163431394995
"22",223.342600288827
"23",269.675723226947
"24",269.675723226947
"25",221.024841234215
"26",195.365895696411
"27",200.41515636765
"28",201.240636469007
"29",197.698521997646
"30",179.730094797207
"31",179.730094797207
"32",173.939719328579
"33",173.939719328579
"34",173.939719328579
"35",206.789043296506
"36",187.000336055589
"37",187.000336055589
"38",187.000336055589
"39",187.000336055589
"40",187.000336055589
"41",149.919541131432
"42",96.3054254753616
"43",101.227751907286
"44",122.112366815601
"45",105.87241387361
"46",145.035961213927
"47",225.854395711891
"48",214.557955203138
"49",213.080439223685
"50",198.077598229132
"51",194.547727770091
"52",202.063564586832
"53",200.250939869172
"54",220.85959477239
"55",253.533261095439
"56",162.887476131135
"57",168.676826012466
"58",168.676826012466
"59",134.378009709368
"60",151.318102964068
"61",137.904892090874
"62",98.4890032111069
"63",115.72572703925
"64",173.384037708775
"65",159.121747862443
"66",149.477668989081
"67",137.279431675599
"68",127.315511055974
"69",99.136295625423
"70",107.128890581862
"71",82.0831969690276
"72",118.721897279521
"73",102.646569852756
"74",102.646569852756
"75",100.534969888853
"76",101.240386521668
"77",150.717292636006
"78",143.444892348518
"79",128.991831980663
"80",149.859594588093
"81",108.684814876193
"82",94.5068544230055
"83",89.7731595467332
"84",80.570108416574
"85",83.2425558217405
"86",82.9082748371746
"87",76.4326335021406
"88",82.7961734291062
"89",75.515548791257
"90",80.2776506905238
"91",91.3358610927471
"92",118.654028281938
"93",130.552947475384
"94",146.394114746384
"95",160.301731232873
"96",177.56622827959
"97",175.548478064371
"98",172.86861382459
"99",130.898889194441
"100",124.431623376716
"101",194.409521773279
"102",188.07625980947
"103",210.464321456382
"104",179.836200709112
"105",179.836200709112
"106",174.019027668818
"107",177.810053437011
"108",196.879018872833
"109",220.075823914475
"110",198.51385491334
"111",172.613008894781
"112",152.891081388629
"113",153.410318208469
"114",99.3029463146536
"115",79.9795017658052
"116",82.1490742354894
"117",99.524349808231
"118",65.0986305072191
"119",64.2330661655574
"120",82.2878756107378
"121",77.0956298609363
"122",78.990048248452
"123",69.2369118240454
"124",67.7863193825696
"125",69.2352201923908
"126",70.2218772640856
"127",56.2023783703787
"128",69.6010226924632
"129",56.0842335798837
"130",61.4854283699837
"131",50.587490932904
"132",51.9051461881131
"133",69.9321272392296
"134",66.5547336772116
"135",64.6537266973349
"136",67.4123791860751
"137",58.6817778595253
"138",58.6817778595253
"139",64.7142750929407
"140",60.253804143784
"141",41.7960930480496
"142",51.7714548945426
"143",52.3874279577912
"144",56.6507003127297
"145",65.7502810202262
"146",85.6333489218761
"147",81.7710193539157
"148",81.7710193539157
"149",78.0968238971118
"150",78.0968238971118
"151",58.9699096063632
"152",93.097404193509
"153",92.6527801152704
"154",103.517737611783
"155",99.3782795215029
"156",111.76234880743
"157",113.897955027832
"158",119.067559882801
"159",116.988388782447
"160",122.920010441375
"161",144.916682510948
"162",140.400723444021
"163",136.059499179941
"164",154.288906963723
"165",148.183958630277
"166",174.193641221589
"167",178.953516735948
"168",216.078536487878
"169",206.7332392985
"170",195.344245844956
"171",181.892875628502
"172",184.927192138125
"173",268.806614054561
"174",284.809938535574
"175",303.34947932687
"176",300.501405141054
"177",298.317878042431
"178",303.883206477954
"179",339.694189387197
"180",298.269395089464
"181",302.966523779792
"182",303.263832858509
"183",277.890240670229
"184",174.814574484672
"185",253.450646653708
"186",197.891730264608
"187",205.247150231769
"188",264.305897183135
