"","average_distances"
"1",272.380721241977
"2",272.380721241977
"3",243.296126610163
"4",270.291528071806
"5",297.532158356888
"6",296.40700686909
"7",296.40700686909
"8",307.276547636689
"9",295.3209486385
"10",295.3209486385
"11",282.240055786906
"12",257.698362547957
"13",283.766060956762
"14",283.766060956762
"15",257.698362547957
"16",263.456688410054
"17",280.321733926545
"18",253.483180210562
"19",253.483180210562
"20",241.089184609002
"21",207.465935847603
"22",249.90458851614
"23",246.583544502157
"24",235.750299516115
"25",219.481139927397
"26",223.986362008517
"27",220.421016804629
"28",232.445562022171
"29",238.659150097239
"30",227.161149537024
"31",239.522639170055
"32",246.103079698265
"33",234.4676379421
"34",214.471650514132
"35",223.240556659596
"36",210.261357528762
"37",210.261357528762
"38",228.131358673387
"39",228.131358673387
"40",207.611126343223
"41",232.176877579039
"42",233.21127739332
"43",238.507681004352
"44",238.507681004352
"45",238.507681004352
"46",222.587044756937
"47",205.111562161036
"48",211.209051156592
"49",191.209223786741
"50",187.658168479397
"51",202.882858798809
"52",216.06692778406
"53",184.573889399628
"54",176.081078038443
"55",192.949469819493
"56",176.803395451608
"57",176.803395451608
"58",176.803395451608
"59",176.803395451608
"60",190.520132848628
"61",180.233494137967
"62",187.838455197387
"63",178.901001633863
"64",178.901001633863
"65",185.426627600551
"66",167.304428783011
"67",142.799117493403
"68",162.553678147652
"69",155.306354797543
"70",155.306354797543
"71",122.111679275867
"72",122.111679275867
"73",183.719137536985
"74",183.719137536985
"75",155.912871218189
"76",183.719137536985
"77",167.368446129756
"78",167.368446129756
"79",167.368446129756
"80",167.368446129756
"81",169.62441741084
"82",169.62441741084
"83",150.507639817002
"84",140.280605315231
"85",159.519882457488
"86",159.519882457488
"87",150.926422106813
"88",136.890926379359
"89",132.212809900315
"90",120.064236770469
"91",188.46906856408
"92",188.46906856408
"93",206.084060642185
"94",153.519066168231
"95",128.80569786312
"96",164.033830541271
"97",207.931777660204
"98",208.044717043988
"99",200.738351667136
"100",147.938245260734
"101",169.097008160072
"102",199.913268651705
"103",176.478635519155
"104",157.541016127859
"105",164.839941988272
"106",141.957707005223
"107",147.957548962933
"108",133.308615744946
"109",105.836105585431
"110",67.1021543757604
"111",117.370953744607
"112",126.186851534628
"113",97.6509056313785
"114",110.92794540647
"115",104.506868099334
"116",100.508632171571
"117",99.7423898044597
"118",92.0580716041689
"119",90.2374440179891
"120",90.1680506656364
"121",65.8734707890604
"122",70.2979011558334
"123",147.13679276402
"124",151.327971248813
"125",202.910048689236
"126",231.650389117072
"127",246.185313926783
"128",261.277459315128
"129",278.256981375309
"130",245.221607383804
"131",245.221607383804
"132",243.740899396738
"133",236.197050356762
"134",273.319992525252
"135",300.042133919755
"136",295.887164558374
"137",311.459832855128
"138",289.000299754882
"139",317.96240290825
"140",298.059785113757
"141",290.65981639781
"142",350.942237104914
"143",421.961138217292
"144",383.654015051467
"145",331.624663428952
"146",362.616793936422
"147",293.713653589806
"148",241.365116905835
"149",329.213925514645
"150",354.94679620157
"151",283.36608921103
"152",321.691350750009
"153",276.3087842208
"154",263.99756144001
"155",320.382081754152
"156",351.80808387043
"157",340.281450590543
"158",340.281450590543
"159",340.289651088668
"160",308.000134227059
"161",218.871456703256
"162",309.39772230598
"163",234.275698405343
"164",156.152763849859
"165",155.616618922565
"166",197.666903127587
"167",174.678645503224
"168",174.678645503224
"169",165.69606232714
"170",186.328926145033
"171",309.592567902184
"172",187.899816014189
"173",240.135819224948
"174",281.621029479888
"175",281.702356085332
"176",232.363488274941
"177",209.801165297069
"178",231.842550975364
"179",168.569629608721
"180",173.776870259366
"181",190.474102307277
"182",304.139188256957
"183",267.509710743424
"184",207.894190253709
"185",327.10543601749
"186",275.753012402617
"187",302.551311408527
"188",297.441978370044
"189",282.588413460895
"190",282.588413460895
"191",292.064077526612
"192",286.068227716404
"193",271.954449342637
"194",221.438569490869
"195",215.981208495972
"196",215.981208495972
"197",284.462021198028
"198",335.659510470937
"199",276.180933564624
"200",278.974615790124
"201",372.104575234739
"202",339.05103843125
"203",371.859097108271
"204",395.528883406195
"205",387.564919442633
"206",384.551499789916
"207",410.037372571069
"208",428.41689395055
"209",409.232839336344
"210",414.502333480471
"211",451.035044275323
"212",470.461953481012
"213",460.68261766512
"214",517.516261359689
"215",481.8425330985
"216",417.355401537999
"217",494.568018538612
"218",472.99468268373
"219",386.956245143808
"220",380.449556602671
"221",363.317154872865
"222",333.928870097661
"223",396.135193923147
"224",396.135193923147
"225",496.815764724093
"226",331.384285357081
"227",331.384285357081
"228",300.243708056504
"229",251.197469579317
"230",273.405877938304
"231",296.720732941623
"232",292.752093406377
"233",261.30697806488
"234",285.262035115693
"235",289.131174758387
"236",309.584037471338
"237",312.443032557126
"238",312.443032557126
"239",245.726360803139
"240",210.993106773323
"241",267.468963471494
"242",298.010740641671
"243",255.632219271218
"244",224.428737262435
"245",342.952516532675
"246",314.823193319594
"247",295.374161152828
"248",202.717754659873
"249",229.641125142236
"250",239.719489555653
"251",260.452611563078
"252",276.021471553205
"253",207.924960422775
"254",207.706547729434
"255",246.617267987727
"256",245.626553836682
"257",262.655922949273
"258",284.136646737549
"259",293.244841910544
"260",249.543189718132
"261",271.513292186243
"262",260.488279747323
"263",251.104283028071
"264",236.486584343868
"265",187.498080881536
"266",228.006847074435
"267",258.99807463857
"268",223.536968206527
"269",285.054779662402
"270",311.239419495882
"271",338.75767709485
"272",354.110972301032
"273",356.435441049053
"274",362.924260296994
"275",374.399965790846
"276",367.029808385329
"277",363.652163686043
"278",384.014819888754
"279",352.678502910099
"280",363.755861738
"281",373.131324244348
"282",275.579682792436
"283",275.579682792436
"284",299.625512485555
"285",268.234306905816
"286",293.053602581076
"287",283.845211054119
"288",241.651235783896
"289",240.849478300407
"290",212.497838556767
"291",218.387372198449
"292",261.599114718696
"293",311.389115534301
