"","x"
"1",53504791.621103
"2",66604083.2713785
"3",83694515.7096303
"4",57791384.6826844
"5",34579845.1995461
"6",40314548.7581756
"7",80835026.9210661
"8",67074042.2265697
"9",95452577.8084611
"10",41783950.5419252
"11",33687202.9781738
"12",82968832.0962461
"13",68295162.1554357
"14",42802076.1012069
"15",59800382.1071092
"16",52727515.3782527
"17",82664683.4056387
"18",59102527.9248959
"19",60760684.3633559
"20",55917001.6785711
"21",94043054.3422975
"22",154652417.706599
"23",165721422.009116
"24",114542457.726996
"25",94388026.1825407
"26",65366869.0729278
"27",27880526.2744464
"28",111181575.652577
"29",139057836.195881
"30",126585707.425623
"31",115893803.327604
"32",68500078.3222062
"33",76892832.5158611
"34",44281971.4127208
"35",37093779.3295212
"36",57264312.7017911
"37",59746684.2619945
"38",83236953.5478349
"39",45496497.8032195
"40",50952635.9657076
"41",49177920.0916672
"42",61858816.4158365
"43",80224134.9280405
"44",73645222.965644
"45",97312077.8330687
"46",111289175.454006
"47",83801988.5811241
"48",39213582.5348958
"49",98347482.3497638
"50",154268292.282889
"51",115760706.234136
"52",75767794.7618818
"53",52877510.580388
"54",67004878.0299806
"55",64179912.7010997
"56",47704684.3285647
"57",49457947.6769591
"58",55602596.2089694
"59",96068952.9389648
"60",65274960.3254291
"61",88644076.9951027
"62",91079078.5465956
"63",87432795.7738575
"64",91228925.8462628
"65",111882989.753292
"66",122114476.054888
"67",122490122.420854
"68",49932316.7624192
"69",77297949.2112111
"70",84459691.9381173
"71",68142709.7913382
"72",65048729.3863011
"73",64740539.9365649
"74",87922902.9682637
"75",79907109.4983486
"76",75987372.5521252
"77",34786345.7205744
"78",27193402.9596613
"79",24702633.9683765
"80",31859256.5862743
"81",42997938.7432852
"82",52514741.5082837
"83",51260095.7062431
"84",37529018.8852957
"85",68013486.1350164
"86",130112132.729506
"87",85819821.0424784
"88",89428489.0208536
"89",55486024.7661296
"90",65225093.9292728
"91",23746095.3330076
