"","x"
"1",18210600.1571432
"2",10237456.8074581
"3",22054086.1159035
"4",21879569.1681524
"5",10191422.1645475
"6",15686499.73615
"7",21809214.9891417
"8",21389103.7270248
"9",21521115.3781409
"10",21442218.5936262
"11",25768203.6706535
"12",25097706.7613106
"13",28926991.6343717
"14",20437473.4460281
"15",27208770.6727907
"16",21138152.6950129
"17",20733722.5391628
"18",22394234.7993115
"19",39102937.2155153
"20",25337627.7153222
"21",42445065.0870491
"22",36865282.4929235
"23",41545416.7631542
"24",47229909.3271342
"25",34887289.8373622
"26",26597571.5833591
"27",16229181.8363461
"28",22143771.7180242
"29",30014687.4993025
"30",20989216.1100601
"31",21330034.1049702
"32",38856501.2673859
"33",33478820.9069194
"34",11257583.1775902
"35",10061084.5979993
"36",10561190.3756782
"37",3818722.77712564
"38",3143469.61028002
"39",9334889.75292022
"40",10273242.1721303
"41",13768614.5305127
"42",20095942.6588756
"43",18981087.7585548
"44",27369772.9092361
"45",39337836.3266598
"46",47223854.0103515
"47",38745085.7929125
"48",28162402.830957
"49",43372074.1126928
"50",55527257.5074897
"51",61144647.8546559
"52",24897064.3928952
"53",33937445.3695258
"54",20129806.6160328
"55",15290685.367517
"56",9032204.15248166
"57",20315123.3344259
"58",14002875.8949681
"59",28157844.1854422
"60",22614746.729739
"61",37476249.2092564
"62",18371279.8389329
"63",31548882.9557797
"64",31311980.2165959
"65",44636655.319183
"66",52815650.7690456
"67",57826184.6990975
"68",27000965.1781282
"69",25644448.8635737
"70",24614138.2639109
"71",26551770.5790229
"72",20344036.099301
"73",25196858.0577561
"74",32060748.215023
"75",13948982.6894003
"76",24947362.4263991
"77",14741894.128073
"78",11922972.9109015
"79",14226313.4284024
"80",15340801.9573058
"81",20857862.5315469
"82",18865942.3931887
"83",17076923.5655084
"84",15510574.0925086
"85",24286335.3862129
"86",27012545.7672778
"87",18574069.1123988
"88",18076996.9034043
"89",15248613.8107572
"90",20977081.025817
"91",7006833.11547165
