"","x"
"1",22170.1678004535
"2",21861.9380165289
"3",22460.6893424036
"4",22340.2175
"5",22998.4104938272
"6",16720.095
"7",20155.675
"8",19868.5124716553
"9",19143.7479338843
"10",28133.7202268431
"11",28133.7202268431
"12",28133.7202268431
"13",28133.7202268431
"14",28133.7202268431
"15",26974.2760416667
"16",28092.784
"17",25927.0104166667
"18",27652.4512
"19",27652.4512
"20",28128.5399305556
"21",28221.96875
"22",26390.5860113422
"23",27545.2582644628
"24",27194.7032136106
"25",17618.5708884688
"26",16788.6466942149
"27",23666.995
"28",23666.995
"29",25918.7048611111
"30",25918.7048611111
"31",26376.1928166352
"32",22464.5306122449
"33",22464.5306122449
"34",23496.2267573696
"35",23496.2267573696
"36",24633.99
"37",22108.4819944598
"38",21879.2595155709
"39",21987.49
"40",21987.49
"41",29323.7052154195
"42",28007.3628808864
"43",28007.3628808864
"44",26819.1609977324
"45",27595.6575
"46",27496.8531855956
"47",27496.8531855956
"48",20937.6327160494
"49",22435.3019390582
"50",22253.135
"51",21404.9160997732
"52",20473.1115702479
"53",20279.902892562
"54",10525.1644612476
"55",10798.1859410431
"56",9011.8775
"57",7900.375
"58",6255.8375
"59",5477.40720221607
"60",6543.02494331066
"61",7299.80991735537
"62",8700.1652892562
"63",9422.09917355372
"64",9422.09917355372
"65",9295.3984
"66",9353.81597222222
"67",10579.3119092628
"68",11220.715
"69",10866.2797731569
"70",11269.0020661157
"71",11213.2287334594
"72",10803.4016
"73",9142.52077562327
"74",11184.423553719
"75",14859.3421550095
"76",14300.1838842975
"77",18887.3287981859
"78",20901.4875283447
"79",26859.9168975069
"80",29641.1675
"81",30799.9710743802
"82",30118.64
"83",30118.64
"84",31984.9774305556
"85",33278.0793950851
"86",36946.7190082645
"87",38166.3900226757
"88",37233.2222222222
"89",35420.0128
"90",31803.3988657845
"91",31011.5746527778
"92",30630.126984127
"93",35189.8037190083
"94",37407.4404536862
"95",34701.734375
"96",33863.9092627599
"97",36371.3375
"98",37386.8526077098
"99",36616.4155124654
"100",32460.022675737
"101",31994.6485260771
"102",33293.9111570248
"103",40722.1965973535
"104",41213.4628099173
"105",42561.0847107438
"106",44175.4752066116
"107",42622.775
"108",45590.5124716553
"109",44790.8975
"110",35231.9783950617
"111",35942.8395061728
"112",39855.8179012346
"113",44443.4228395062
"114",45689.855
"115",47958.3545706371
"116",43249.0566893424
"117",44290.5875
"118",46104.9444444445
"119",46258.9375
"120",45332.0045351474
"121",46503.3378684807
"122",45481.0082644628
"123",47303.35
"124",43147.201814059
"125",46592.9930555555
"126",44570.7712665406
"127",42169.6466942149
"128",36687.4971644613
"129",31373.5991735537
"130",33905.315
"131",34004.6375
"132",34320.4988662132
"133",32662.6652892562
"134",25210.0725623583
"135",25518.8595041322
"136",25382.1475
"137",23707.0858725762
"138",21790.3083900227
"139",21196.1133786848
"140",20987.8
"141",19636.97
"142",19585.0204081633
"143",16422.339100346
"144",14733.3850415512
"145",12037.8725761773
"146",28599.6549586777
"147",29308.2252066116
"148",28177.5576559546
"149",28177.5576559546
"150",27177.7135416667
"151",27220.9716446125
"152",29491.28
"153",29725.2026627219
"154",31372.2533081285
"155",33461.6033057851
"156",25583.9575
"157",24361.3761814745
"158",23738.9149305556
"159",17975.95
"160",17852.8526077097
"161",8460.4012345679
"162",9041.74609375
"163",22504.26
"164",23560.215
"165",25961.2775
"166",27255.5734072022
"167",27452.3875
"168",28347.8780991736
"169",28869.7479338843
"170",28154.1717451524
"171",28120.9
"172",26722.195
"173",26929.972299169
"174",26483.8670360111
"175",26816.7590027701
"176",25962.1632653061
"177",24034.4988662132
"178",22311.3696145125
"179",20953.275
"180",20359.7618147448
"181",19061.6579861111
"182",18279.2438563327
"183",18279.2438563327
"184",18279.2438563327
"185",19520.8298816568
"186",15247.0132325142
"187",13613.5392561983
"188",14521.4979338843
"189",13995.5765595463
"190",14502
"191",14109.1947069943
"192",15832.3595041322
"193",15762.5595567867
"194",15196.3102493075
"195",12139.4958448753
"196",11605.22
"197",11148.5392561983
"198",11289.1473922903
"199",9471.5975
"200",9734.73130193906
"201",10356.15
"202",11431.71875
"203",12147.234375
"204",13083.1911357341
"205",17884.7800453515
"206",17884.7800453515
"207",18825.6675900277
"208",19840.8753462604
"209",21713.4829931973
"210",23404.8946280992
"211",21807.4548611111
"212",22635.7996219282
"213",22786.1398865785
"214",22744.7456
"215",23040.5826446281
"216",26113.95463138
"217",28733.4615384615
"218",29855.0850661626
"219",31238.8475
"220",33313.0027700831
"221",36673.6157024793
"222",36278.5444234404
"223",36199.6631944445
"224",36199.6631944445
"225",37056.1285444234
"226",35326.5351473923
"227",38636.0362811791
"228",38676.8355387524
"229",41310.735
"230",32381.795
"231",38589.8140589569
"232",44597.7315689981
"233",45227.8202479339
"234",43468.2381852552
"235",44719.7623966942
"236",40813.4139886578
"237",37968.3251417769
"238",40517.5061983471
"239",39693.5555555556
"240",40202.2079395085
"241",40202.2079395085
"242",41767.0289256198
"243",44875.775
"244",42815.9359504132
"245",41749.4704861111
"246",39577.7326388889
"247",34173.7202268431
"248",34871.4784
"249",36666.6578449905
"250",38123.4710743802
"251",38046.8946280992
"252",43602.7024793388
"253",42560.8480725624
"254",41728.0725623583
"255",40603.7641723356
"256",39118.2570888469
"257",29942.9754253308
"258",29942.9754253308
"259",33803.875
"260",31404.7939508507
"261",31404.7939508507
"262",30144.6579861111
"263",21371.7844990548
"264",21371.7844990548
"265",21371.7844990548
"266",21462.7065972222
"267",22684.6239669421
"268",22753.2479338843
"269",23141.347107438
"270",22384.4376731302
"271",22602.1662049862
"272",33572.2675736962
"273",45791.8966942149
"274",48663.2299168975
"275",48581.977324263
"276",44965
"277",48664.9075
