"","x"
"1",21713232.5227079
"2",31807063.4481772
"3",34246953.5216507
"4",27160867.568231
"5",34628571.8318932
"6",42563687.5706727
"7",44714851.0197321
"8",70352283.9657484
"9",62712571.6087574
"10",61228450.394386
"11",59253853.9624547
"12",40019657.7910557
"13",34593240.9070556
"14",23735231.6642047
"15",49374334.3304808
"16",66119208.948168
"17",64138865.9168922
"18",52609650.3649527
"19",51094333.3995412
"20",50630161.6733839
"21",33148824.1814095
"22",43607207.8054533
"23",50731717.9041487
"24",66536615.4311249
"25",57452265.5993772
"26",85300436.5195174
"27",77102927.6817863
