"","x"
"1",32018709.5820358
"2",18559469.7748478
"3",26435675.1934668
"4",25272635.0264298
"5",29034305.5811905
"6",31305669.3734424
"7",38300384.2518902
"8",35191275.8311836
"9",37866382.5842519
"10",30874298.4737547
"11",31207020.0490991
"12",26790647.8507531
"13",45334340.7477933
"14",22699861.6735499
"15",32173278.1742662
"16",36386224.2834677
"17",30982220.7393185
"18",49342673.3154873
"19",33644626.3315503
"20",24657538.5074573
"21",22765800.8068719
"22",20785935.29237
"23",32454329.2449927
"24",26696953.4575942
"25",27496121.3471434
"26",24909032.6415413
"27",42901049.6042205
