"","x"
"1",25628.9166666667
"2",25628.9166666667
"3",23809.8579881657
"4",24392.0486111111
"5",29565.325443787
"6",27758.1479591837
"7",26831.3955555556
"8",31315.8044444444
"9",31315.8044444444
"10",25545.637755102
"11",32246.1688888889
"12",36934.0138408304
"13",36934.0138408304
"14",35072.8549382716
"15",34576.3024691358
"16",36542.4636678201
"17",25391.0034602076
"18",24640.4845679012
"19",20891.9307958478
"20",20891.9307958478
"21",21185.8171745152
"22",22040.9307479224
"23",18384.7067901235
"24",12646.8395061728
"25",13544.3775
"26",14008.4722222222
"27",29175.4349030471
"28",28657.2908587258
"29",28657.2908587258
"30",28657.2908587258
"31",29606.9273356401
"32",29185.8892733564
"33",29185.8892733564
"34",29454.2352941176
"35",29502.4359861592
"36",36694.2382271468
"37",37685.4515235457
"38",34199.1383219955
"39",34199.1383219955
"40",23674.94921875
"41",27985.3671875
"42",27408.18359375
"43",26170.2975778547
"44",25267.024691358
"45",24578.6728395062
"46",24578.6728395062
"47",27522.55859375
"48",23181.9921875
"49",23181.9921875
"50",23181.9921875
"51",22280.8888888889
"52",24883.3846153846
"53",22237.0044444445
"54",27400.4177777778
"55",33342.0833333333
"56",32465.1239669422
"57",28416.9467455621
"58",29396.4652777778
"59",39810.4622222222
"60",40663.88671875
"61",42899.8961937716
"62",45311.68359375
"63",42895.2802768166
"64",47059.8755555556
"65",47059.8755555556
"66",31198.1796875
"67",31198.1796875
"68",33112.21484375
"69",31746.5674740484
"70",30361.9778393352
"71",31433.9938271605
"72",30903.5778546713
"73",29339.3858024691
"74",30698.9411764706
"75",28973.8302469136
"76",30261.8131487889
"77",27763.4
"78",26561.9335180055
"79",24388.2267573696
"80",25432.275
"81",25432.275
"82",26632.3490304709
"83",23388.0387811634
"84",25121.2733564014
"85",23170.85
"86",23223.7128099174
"87",23223.7128099174
"88",23223.7128099174
"89",18247.8533057851
"90",18247.8533057851
"91",19263.8185941043
"92",18492.847107438
"93",19042.847107438
"94",21129.179584121
"95",21475.7188208617
"96",23434.3327032136
"97",22591.2430555556
"98",15706.2004132231
"99",15706.2004132231
"100",16339.132231405
"101",15217.8993055556
"102",17077.7369614512
"103",17694.8775
"104",12884.2382271468
"105",12055.2409972299
"106",10164.3858024691
"107",9635.04498269896
"108",9022.26297577855
"109",9690.94182825485
"110",9547.3075
"111",6959.04155124654
"112",6959.04155124654
"113",7020.09688581315
"114",7803.70637119114
"115",7593.70975056689
"116",8420.0718336484
"117",8646.98553719008
"118",8807.96527777778
"119",7831.96975425331
"120",7537.09504132231
"121",6076.535
"122",6253.60090702948
"123",8337.27977839335
"124",10781.575
"125",13131.3771626298
"126",12841.8725761773
"127",12970.9750566893
"128",12448.63
"129",11982.5941043084
"130",11982.5941043084
"131",11566.8199445983
"132",10914.5709876543
"133",10036.3364197531
"134",11768.6537396122
"135",12714.6435986159
"136",11666.8302469136
"137",13565.351800554
"138",13550.1163434903
"139",14407.3462603878
"140",14320.1218836565
"141",14877.9135802469
"142",15210.84
"143",15210.84
"144",17454.0968858131
"145",16895.9413580247
"146",14712.0415224914
"147",15376.24609375
"148",16043.1834319527
"149",14343.3673469388
"150",19370.0679012346
"151",19370.0679012346
"152",19447.7
"153",20275.2188365651
"154",19200.3038548753
"155",18762.188365651
"156",19476.7191358025
"157",18757.0914127424
"158",18606.5927977839
"159",19468.5328719723
"160",18352.9290123457
"161",18871.6913580247
"162",19446.8442906574
"163",19446.8442906574
"164",16943.48046875
"165",17503.5017301038
"166",18122.2430555556
"167",17880.4132231405
"168",16175.1887755102
"169",19102.5688888889
"170",21269.0859375
"171",22204.921875
"172",21099.2941176471
"173",21946.32421875
"174",22869.6358024691
"175",22869.6358024691
"176",21699.0588235294
"177",22242.0118343195
"178",19657.550295858
"179",24382.3644444444
"180",21579.7511111111
"181",21035.3356401384
"182",23590.9375
"183",21829.3
"184",20750.255
"185",21684.3822714681
"186",21044.60546875
"187",23956.05859375
"188",20115.90234375
"189",28537.4375
"190",28747.546875
"191",30575.2040816327
"192",30474.0833333333
"193",31651.1822222222
"194",31756.83984375
"195",31926.1955555556
"196",40474.1522491349
"197",40474.1522491349
"198",38514.9290123457
"199",40834.9861495845
"200",41604.035
"201",42727.3462603878
"202",46024.3737024221
"203",45335.4784580499
"204",47394.4
"205",45740.4308390023
"206",45740.4308390023
"207",48501.7506925208
"208",45413.0858725762
"209",46827.7673130194
"210",46827.7673130194
"211",48902.5216049383
"212",47759.8359375
"213",46107.9290123457
"214",43769.5235457064
"215",43962.3487654321
"216",43962.3487654321
"217",38432.1950113379
"218",47620.4914933837
"219",47620.4914933837
"220",42933.6235827664
"221",42933.6235827664
"222",44883.3375
"223",44883.3375
"224",36464.3075
"225",36484.7619047619
"226",38037.4845679012
"227",34381.1833910035
"228",33962.25
"229",33962.25
"230",30406.0888888889
"231",28599.609375
"232",34316.0546875
"233",31652.274691358
"234",30985.6193771626
"235",29534.4444444444
"236",26789.8140589569
"237",27670.91
"238",29903.6121883657
"239",33453.8339100346
"240",25900.6094182826
"241",30941.1172839506
"242",29939.0175
"243",26032.4099722992
"244",26270.9075
"245",24590.9752066116
"246",24387.0850661626
"247",26417.3151927438
"248",25274.0743801653
"249",25748.235
"250",25485.0022675737
"251",21333.484375
"252",19384.4653739612
"253",19384.4653739612
"254",19821.2169421488
"255",18646.0642722117
"256",14605.052154195
"257",14555.5734072022
"258",16485.695
"259",16195.8615702479
"260",14964.4217687075
"261",14411.5392561983
"262",14411.5392561983
"263",13584.655
"264",10117.9075
"265",7768.234375
"266",7537.99307958477
"267",10558.575
"268",10558.575
"269",10055.3429752066
"270",14063.0875
"271",14557.6565096953
"272",14348.0675
"273",13697.1609977324
"274",13207.4731404959
"275",13019.6780045352
"276",12762.9049586777
"277",12118.809073724
"278",11620.4375
"279",11620.4375
"280",9676.13988657845
"281",9676.13988657845
"282",9676.13988657845
"283",9930.14256198347
"284",11463.7731568998
"285",11344.326446281
"286",13716.1111111111
"287",11520.4598765432
"288",13316.3047091413
"289",13103.9359504132
"290",13103.9359504132
"291",12895.2741020794
"292",12895.2741020794
"293",12765.3719008265
"294",12765.3719008265
"295",12765.3719008265
"296",12747.5425330813
"297",13101.8119834711
"298",13101.8119834711
"299",10671.1375
"300",11522.9855371901
"301",11522.9855371901
"302",11451.514739229
"303",13175.5640495868
"304",22124.6031746032
"305",21249.3987603306
"306",21249.3987603306
"307",21249.3987603306
"308",20764.752362949
"309",17545.9909297052
"310",17545.9909297052
"311",17489.5805785124
"312",17489.5805785124
"313",19018.3990929705
"314",17895.65
"315",9293.5375
"316",10106.9444444444
"317",8542.71875
"318",10792.65234375
"319",11557.044982699
"320",11953.7923875433
"321",15782.5875
"322",16004.9297052154
"323",18451.9276859504
"324",20857.1655328798
"325",22513.1523545706
"326",21910.4375
"327",21130.3628117914
"328",19565.6483931947
"329",19301.729338843
"330",19948.9981096408
"331",19737.5875
"332",19262.3675
"333",24711.984375
"334",21848.1730103806
"335",20089.2
"336",22782.57421875
"337",23659.7783933518
"338",22087.4875283447
"339",22087.4875283447
"340",23367.0304709141
"341",22259.3786848073
"342",22259.3786848073
"343",22302.8719008264
"344",22302.8719008264
"345",20698.0516528926
"346",21437.9875
"347",21457.715
"348",23846.8119834711
"349",24920.0375
"350",26762.0277777778
"351",26762.0277777778
"352",31676.9916897507
"353",36306.4155124654
"354",35871.7063711911
"355",37273.2465373961
"356",37273.2465373961
"357",37273.2465373961
"358",35719.7932098765
"359",37461.8408304498
"360",34222.5859375
"361",35648.1777777778
"362",32327.4475308642
"363",29598.5487528344
"364",26438.715
"365",28619.7160493827
"366",28619.7160493827
"367",28888.76171875
"368",30092.7111111111
"369",29528.1777777778
"370",27528.4609375
"371",25873.6875
"372",26885.8820861678
"373",26885.8820861678
"374",27629.2775
"375",27920.459833795
"376",27894.715
"377",29453.1049382716
"378",28281.6011080332
"379",29118.3858024691
"380",22618.4444444444
