"","x"
"1",32247861.7127723
"2",35326384.6722601
"3",50004499.4384442
"4",81461392.1158397
"5",90288704.0103246
"6",28715892.9107496
"7",80957587.3217826
"8",78588983.1183194
"9",99119304.8070088
"10",64783832.1696913
"11",61334114.8258596
"12",102153076.102898
"13",58348845.0254156
"14",90306819.4818762
"15",54441671.5391013
"16",71262650.7951561
"17",35606939.3213909
"18",44604120.9477871
"19",33128879.5197165
"20",71416594.5010028
"21",59574372.0981292
"22",81309711.5281014
"23",70641637.0588233
"24",40080323.7271376
"25",44427704.7558736
"26",85506147.3614637
"27",105372065.566874
"28",72381435.2212945
"29",71023719.1009133
"30",47636191.2473451
"31",42606507.8592112
"32",41553589.431173
"33",37436122.0804179
"34",49036797.8521359
"35",25766369.4314268
"36",59686548.8394813
"37",53179161.314182
"38",79596601.2228658
"39",183856346.784473
"40",135144631.056997
"41",156018778.353001
"42",191290159.247385
"43",130571285.912645
"44",72341648.9677589
"45",51127530.7182617
"46",21964500.9433783
"47",53016593.9012745
"48",62150879.3329698
