"","x"
"1",19979540.1941236
"2",12463932.2612352
"3",26111951.6899819
"4",22959861.1128916
"5",23669894.6595474
"6",18736021.8183561
"7",18851811.1481397
"8",20370884.8387717
"9",16500187.1840975
"10",20787826.5802113
"11",17115002.299497
"12",30274854.969813
"13",21193998.0029341
"14",22735290.7511938
"15",16125820.6872682
"16",21043224.2989993
"17",25822124.6338082
"18",28310931.4367148
"19",13652523.4788298
"20",18718985.7671078
"21",18537412.9239691
"22",14724843.1782691
"23",17387677.0660126
"24",15282933.5746152
"25",18187693.0937727
"26",21883648.1317534
"27",27644787.1662195
"28",19465960.03422
"29",23783508.567734
"30",32888987.5374536
"31",24368496.8180512
"32",22429335.9404203
"33",19796295.3727891
"34",24597692.130799
"35",16753726.3898787
"36",29764329.4675271
"37",26154137.8070733
"38",28487193.9483184
"39",38749899.0648891
"40",16991867.9177124
"41",25316638.9141411
"42",34431350.8053233
"43",32472454.51506
"44",26718423.0121936
"45",13561530.3462865
"46",18578424.2391146
"47",17486775.8099436
"48",16267441.9210529
