"","x"
"1",21409.4648526077
"2",21409.4648526077
"3",22399.8875
"4",22670.6426592798
"5",23732.8827160494
"6",28536.4487534626
"7",26717.9092970521
"8",26003.635
"9",26547.8185941043
"10",27617.1756198347
"11",27617.1756198347
"12",28718.8752834467
"13",28536.155
"14",27936.970521542
"15",12059.0987654321
"16",12059.0987654321
"17",11796.1038062284
"18",12077.30859375
"19",12448.5234375
"20",12019.6332179931
"21",8526.05859375
"22",8844.57439446367
"23",9322.24609375
"24",9255.77777777778
"25",8985.8984375
"26",8667.8892733564
"27",9841.64705882353
"28",9841.64705882353
"29",8331.5234375
"30",7864.11764705883
"31",7783.8359375
"32",8141.375
"33",8364.23529411765
"34",14617.8580246914
"35",14501.7174515236
"36",13613.487654321
"37",14834.19921875
"38",17037.1822222222
"39",17378.9422222222
"40",15854.2906574394
"41",14365.9413580247
"42",14999.9446366782
"43",14969.5875
"44",14969.5875
"45",14969.5875
"46",15874.7437641723
"47",16785.1975308642
"48",16617.3019390582
"49",17191.6728395062
"50",18425.9861591696
"51",18111.549382716
"52",17862.3487654321
"53",19900.735
"54",20335.4958448753
"55",21048.3858024691
"56",22451.1764705882
"57",22747.6171875
"58",21613.384083045
"59",26471.1975308642
"60",26471.1975308642
"61",26940.0275
"62",27451.0914127424
"63",28812.5802469136
"64",28812.5802469136
"65",25227.0934256055
"66",15833.7647058824
"67",25273.75
"68",25700.90234375
"69",23747.3858024691
"70",22511.5900277008
"71",23558.524691358
"72",23900.9965397924
"73",24461.9081632653
"74",25487.0414201183
"75",25487.0414201183
"76",25832.90234375
"77",28562.2040816327
"78",28469.3724489796
"79",26202.85546875
"80",17422.1479591837
"81",17422.1479591837
"82",17184.7455621302
"83",17702.2734375
"84",17702.2734375
"85",17702.2734375
"86",18872.274691358
"87",18470.4705882353
"88",14838.859375
"89",13203.7162629758
"90",13779.6080246914
"91",13202.135
"92",11234.1385041551
"93",11057.6875
"94",10789.6475
"95",10955.3424036281
"96",11702.5216049383
"97",11134.0899653979
"98",8305.74382716049
"99",8807.48788927335
"100",8717.77162629758
"101",7992.71201814059
"102",8124.8675
"103",7761.09750566893
"104",6992.17355371901
"105",6945.92561983471
"106",6334.6
"107",5481.195
"108",3962.81790123457
"109",3634.16780045351
"110",1248.55328798186
"111",1248.55328798186
"112",1629.8449905482
"113",1629.8449905482
"114",1600.59504132231
"115",1544.175
"116",2020.12244897959
"117",2020.12244897959
"118",2020.12244897959
"119",4451.50113378685
"120",4648.075
"121",5024.33333333333
"122",4757.05859375
"123",7101.53462603878
"124",8021.12654320988
"125",7833.82271468144
"126",8391.64172335601
"127",8774.1375
"128",9128.57617728532
"129",10189.5216049383
"130",7760.69204152249
"131",9612.49134948097
"132",12052.0679012346
"133",11883.7654320988
