"","x"
"1",37255677.1649031
"2",32893262.3903135
"3",68537204.1045298
"4",55163882.0759495
"5",55363220.0897078
"6",30077001.558286
"7",38791782.7599409
"8",37372365.0374029
"9",52430531.4846542
"10",37806127.8786285
"11",30936087.6111101
"12",53824265.3737235
"13",26437723.6049193
"14",47149767.7771282
"15",61406475.914384
"16",25746008.4258554
"17",31662201.6265915
"18",40323260.6451612
"19",21439930.2808173
"20",49607732.1893344
"21",125653517.808934
"22",65270576.6604404
"23",86935668.4864864
"24",91895549.0831277
"25",62956489.4513582
"26",65391536.3897365
"27",61156950.1445979
"28",36040422.254584
"29",59152705.8391057
"30",30539825.0342584
"31",28325406.7457382
"32",60945856.6371806
"33",25280423.7432606
"34",41037263.5756367
"35",53475244.8634971
"36",51215879.5479877
"37",56299272.577598
"38",65311634.608069
"39",108167629.981846
"40",108947448.170429
"41",81714240.4801416
"42",75472070.3843478
"43",36875950.8362449
"44",81404506.8451356
"45",43934922.7785434
"46",44359019.4644628
"47",52055340.4695805
"48",69462968.173136
"49",43604587.3929448
"50",61387159.2767348
"51",43303305.0949319
"52",39899120.8298618
"53",56645654.9625623
"54",72552195.9550647
"55",73024254.8332073
"56",43666969.8836567
"57",75437648.1904756
"58",63851898.8549728
"59",85527170.7423554
"60",63972533.2784812
"61",79539783.1688099
"62",39995454.6227103
"63",33946499.3855422
"64",25022052.678686
"65",59197856.1055012
"66",17852404.1234375
"67",45998368.1285838
"68",66382845.8045554
"69",73021600.8224805
"70",29193675.8787881
"71",45392738.1826147
"72",7336285.31895337
"73",5757093.11454672
"74",25860202.2211243
"75",53761760.5958797
"76",21144442.4249084
"77",45182587.8810216
"78",9684061.76574139
"79",7835689.2147743
"80",19326379.333549
"81",35416885.9072848
"82",40497501.0484402
"83",45797591.8389262
"84",17573104.2551094
"85",16863352.4704932
"86",56726766.2331768
"87",69411384.021995
"88",50421605.436745
"89",90131517.0652799
"90",66412573.1060864
"91",31326635.0451703
"92",56783536.5341789
"93",16695716.6354861
"94",31955282.3129355
"95",23412226.3738389
"96",33146099.7077151
"97",32308612.4282576
"98",35643170.2682738
"99",102282869.910898
"100",45109255.7415477
"101",61055399.396781
"102",39780922.4623864
"103",38204367.9691066
"104",58758688.6347304
"105",100300196.066712
"106",76140996.2997797
"107",90519460.7118918
"108",23877801.4337724
"109",47979682.3113334
"110",120900762.701201
"111",36641782.9360543
