"","x"
"1",25408682.6953408
"2",15263360.8440218
"3",16928211.8997002
"4",11734995.2496481
"5",29390598.766297
"6",28078938.0721497
"7",39798513.4311781
"8",49875144.2001783
"9",49680966.5389467
"10",21068524.0705806
"11",16951960.3142782
"12",21066406.3259684
"13",12979891.8678376
"14",30208818.2106977
"15",52676647.8575145
"16",30681693.2496541
"17",14510463.0913423
"18",33426995.4721662
"19",19408602.8897521
"20",16027497.3348513
"21",30134177.0906555
"22",40884254.409189
"23",35694925.4063576
"24",50961148.8889059
"25",21790292.5059584
"26",38674959.502462
"27",20000858.4712816
"28",14325245.0423901
"29",7876928.40819112
"30",14450677.3191664
"31",27658878.8602025
"32",23699172.6346967
"33",17576959.5834228
"34",6096140.55988245
"35",25689276.4486123
"36",13563486.7292017
"37",13966603.2235883
"38",19737649.0755601
"39",32406617.6164659
"40",26665502.1155937
"41",18191427.5848909
"42",9467541.37696173
"43",6259493.43039975
"44",7091297.35531655
"45",16969313.1044312
"46",32897332.3810375
"47",23644491.4682611
"48",15158412.8639429
"49",20658818.3944529
"50",13077882.0771293
"51",9973025.69909657
"52",17729611.7004034
"53",17784783.7295147
"54",12360695.7985222
"55",10183727.5884301
"56",13714540.2634052
"57",15662720.7619137
"58",33479198.4758157
"59",12710020.8326104
"60",6177587.19914421
"61",14664851.5694879
"62",7616192.40820891
"63",11330055.0585818
"64",23517325.6852262
"65",23486935.0558302
"66",13929836.5633259
"67",9632438.84211009
"68",19734698.5426094
"69",12614006.2095412
"70",5161903.69890523
"71",4662302.51653194
"72",9242205.77988437
"73",10942375.5516455
"74",10195344.3963676
"75",10720378.288013
"76",6852417.17232998
"77",9857031.3241374
"78",6734604.16285144
"79",8138879.39790422
"80",10915069.117646
"81",8617601.80722793
"82",7387797.39262959
"83",9333808.82604064
"84",6128520.90290586
"85",7709200.740963
"86",9437493.69766315
"87",32959687.34904
"88",5648296.71702446
"89",41997526.2648799
"90",29143383.2577173
"91",27554651.4635481
"92",14461100.9212459
"93",5054573.31525579
"94",14220244.4237252
"95",14875682.5540942
"96",21660544.9098941
"97",15773608.4299804
"98",10666022.1900582
"99",31437359.0899202
"100",19178388.6906674
"101",14466628.5243336
"102",30566253.804485
"103",21221141.3605082
"104",29536693.1761381
"105",45485853.8744116
"106",28847848.3388767
"107",35601828.3737743
"108",12143492.1286824
"109",22676761.543884
"110",24889950.8456125
"111",25660420.5183395
