"","x"
"1",19913.5017301038
"2",19913.5017301038
"3",24902.8027681661
"4",24902.8027681661
"5",24902.8027681661
"6",24948.7111111111
"7",24948.7111111111
"8",28319.9846938776
"9",27436.72
"10",36255.5339506173
"11",36255.5339506173
"12",36255.5339506173
"13",37103.7439446367
"14",43053.237654321
"15",39427.0432098766
"16",38829.8614958449
"17",36347.0304709141
"18",36347.0304709141
"19",35260.1635802469
"20",32032.4982698962
"21",28215.82421875
"22",26423.1349480969
"23",26423.1349480969
"24",26423.1349480969
"25",27392.5882352941
"26",28101.0311111111
"27",29074.4591836735
"28",21658.4652777778
"29",21902.3801652893
"30",20507.8819444444
"31",18557.1683673469
"32",7243.40972222222
"33",7243.40972222222
"34",7875.35537190083
"35",10596.1656804734
"36",12531.04
"37",12531.04
"38",12531.04
"39",12531.04
"40",12677.68359375
"41",13042.6643598616
"42",11188.18359375
"43",11188.18359375
"44",11574.2152777778
"45",12551.44
"46",17752.6419753086
"47",19577.0650887574
"48",13933.8512396694
"49",12324.4615384615
"50",17009.1024930748
"51",16393.4228395062
"52",14941.88
"53",15646.648199446
"54",15646.648199446
"55",16138.7377777778
"56",12535.9375
"57",15997.8302469136
"58",16650.0154320988
"59",16644.0276816609
"60",16954.34375
"61",10236.9722222222
"62",15602.6530612245
"63",16675.8816568047
"64",20487.887755102
"65",20252.2959183673
"66",17512.4652777778
"67",19484.0510204082
"68",16974.5408163265
"69",10399.6711111111
"70",8884.1796875
"71",7570.02040816327
"72",6479.92899408284
"73",6019.8892733564
"74",6019.8892733564
"75",5748.26234567901
"76",5709.48096885813
"77",18143.04296875
"78",15104.3490304709
"79",13163.1882716049
"80",12625.0555555556
"81",3304.3379501385
"82",3143.54648526077
"83",2806.08950617284
"84",2806.08950617284
"85",2415.36734693878
"86",3005.4674556213
"87",2490.80888888889
"88",4720.17777777778
"89",4293.16358024691
"90",4280.20061728395
"91",4016.15111111111
"92",6412.90432098765
"93",8385.2475
"94",12050.3047091413
"95",11771.3359375
"96",12313.2444444444
"97",17267.1484375
"98",19750.27734375
"99",20923.1326530612
"100",19997.6213017752
"101",20859.798816568
"102",21832.2152777778
"103",23631.0277777778
"104",22574.0663265306
"105",22574.0663265306
"106",22574.0663265306
"107",18311.9183673469
"108",18311.9183673469
"109",18302.44921875
"110",18760.2311111111
"111",16570.1319444444
"112",14705.3724489796
"113",14958.296875
"114",12116.7750865052
"115",12136.1875
"116",10885.8826530612
"117",8597.90222222222
"118",2876.01777777778
"119",4441.29777777778
"120",4155.96539792387
"121",3656.6
"122",3825.5567867036
"123",3708.835
"124",3733.0875
"125",2553.575
"126",775.324099722992
"127",762.756172839506
"128",659.87811634349
"129",659.9
"130",480.891975308642
"131",508.603878116343
"132",498.603878116343
"133",840.429065743945
"134",813.711911357341
"135",774.3875
"136",795.975308641975
"137",573.411764705882
"138",573.411764705882
"139",1092.15234375
"140",1763.89569160998
"141",1811.7475
"142",2551.1475
"143",2626.98060941828
"144",2657.27734375
"145",3538.55363321799
"146",3520.2214532872
"147",3660.67128027682
"148",3617.01543209876
"149",3781.74394463668
"150",3781.74394463668
"151",4021.34256055363
"152",4776.65432098766
"153",4538.19390581717
"154",4538.19390581717
"155",4096.70987654321
"156",4252.05859375
"157",4243.61937716263
"158",7871.54320987655
"159",7916.88581314879
"160",7907.9169550173
"161",8076.91349480969
"162",9119.54325259516
"163",25033.6533333333
"164",28016.9413580247
"165",29478.615916955
"166",34429.1419753086
"167",37990.3490304709
"168",43230.29296875
"169",40934.8302469136
"170",42433.225308642
"171",41248.01171875
"172",38246.6049382716
"173",39110.062283737
"174",32435.1635802469
"175",37210.1141975309
"176",37294.8302469136
"177",35803.3019390582
"178",40131.2711111111
"179",39701.41796875
"180",36121.8359375
"181",55498.7197231834
"182",58468.51171875
"183",61717.3628808864
"184",69129.8222222222
"185",61460.8622222222
"186",63644.1176470588
"187",64701.0173010381
"188",63940.1314878893
"189",65088.51171875
"190",73502.9141274238
"191",74128.6728395062
"192",73293.2853185596
"193",72730.0088888889
"194",73077.3724489796
"195",74339.1764705882
"196",65531.9653979239
"197",50280.8581314879
"198",50280.8581314879
"199",45201.5859375
"200",55338.2844444444
"201",52432.796875
"202",40526.3321799308
"203",46186.1107266436
"204",45575.0510204082
"205",44036.74609375
"206",46208.11
"207",44589.4228395062
"208",48880.93359375
"209",45482.4845679012
"210",42022.41796875
"211",52114.1511111111
"212",52105.6049382716
"213",51822.4444444445
