"","x"
"1",29896662.0485196
"2",65907113.1881755
"3",21856066.9223603
"4",22397575.3587239
"5",85245207.9954725
"6",130424445.621067
"7",100727547.170239
"8",55551222.2384753
"9",40722594.4262697
"10",71002059.8491578
"11",47624359.2233885
"12",48181164.8083172
"13",11529361.2283879
"14",34600856.4058159
"15",22283722.0470277
"16",68787709.2821934
"17",65082434.7705349
"18",34512804.3892403
"19",65304223.8806497
"20",70553699.385482
"21",58730540.3737438
"22",85126817.4136808
"23",81392105.0021945
"24",93945974.9875247
"25",50363483.5158682
"26",33297452.0424204
"27",38503640.7496949
"28",49505977.6292421
"29",46718657.717449
"30",93117241.2294969
"31",127424572.8256
"32",127827573.853383
"33",145105127.046622
"34",106471721.641694
"35",115822009.083139
"36",133161721.741548
"37",236370363.724566
"38",227928253.303226
"39",190629827.389834
"40",174515337.056164
"41",152747357.158511
"42",191107104.85585
"43",198136495.63042
"44",55811140.7066359
"45",24698300.4966523
"46",26672801.3065978
"47",234483292.674965
"48",248398163.132333
"49",274243390.897852
"50",258721406.421121
"51",41824310.2944583
"52",74760617.0865694
"53",102565764.951712
"54",52112116.0463521
"55",37285364.4193761
"56",24346793.0022455
"57",106565801.128346
"58",108318982.873373
"59",122906555.901809
"60",85767468.6760468
"61",98149004.5575874
"62",37007792.020543
"63",42977064.4354942
"64",64339078.0275163
"65",107260828.66434
"66",39412671.8270777
"67",43036234.6245952
"68",56554756.8982925
"69",94463424.5956857
"70",79629621.2402639
"71",34440249.328452
"72",61622512.8579345
"73",60364078.4127445
"74",72344520.3306032
"75",77304974.5447198
"76",94154385.0670901
"77",77616686.7617406
"78",62202442.7005244
"79",57333772.1455822
"80",45225438.6695842
"81",76938673.6268768
"82",83398783.1931583
"83",43352310.3144304
"84",48431177.2520959
"85",29272505.3645211
"86",24979630.731444
"87",19242798.8249319
"88",2079879.89770116
"89",4915379.82447761
"90",3481771.18865747
"91",4763679.65429087
"92",15497336.2438727
"93",21107839.909373
"94",42975014.711278
"95",16552933.9926427
"96",17389958.8082284
"97",49967344.8955415
"98",26709071.531638
"99",15876000.0949286
"100",39562429.294482
"101",33528522.6527356
"102",12945443.7706483
"103",15126488.0214182
"104",14609762.3727033
"105",20786185.8970014
"106",33331372.0053946
"107",28154863.192795
"108",19545008.8408057
"109",11195673.0250168
"110",42396571.1916719
"111",146574879.03209
"112",124930045.894245
"113",64333987.2963208
"114",89207745.5995007
"115",59009819.2197881
"116",75552563.8130545
"117",91593721.2111327
"118",110225395.890697
"119",95435310.4983792
"120",90088931.7978866
"121",58601669.7321311
"122",66521649.2594853
"123",67514170.7027231
"124",84827011.2651738
"125",76914893.6918106
"126",78597390.5671747
"127",58964416.3669322
"128",53600831.0301962
"129",54325446.1411443
"130",94242025.403391
"131",69032562.8801143
"132",36225853.407408
"133",28545030.5323038
"134",90428204.7331288
"135",87158995.5629421
"136",61236485.2587096
"137",60117937.907393
"138",116973364.913819
"139",114372130.573341
"140",89936287.5138319
"141",130640813.254173
"142",70748072.1399115
"143",40221198.7857141
"144",49347136.2995459
"145",47027427.1651004
"146",58094401.4571622
"147",73364650.3009104
"148",55660267.4066075
"149",108081240.117215
"150",90733161.1204569
"151",83922805.5413847
"152",88835083.7044673
"153",65124681.4934632
"154",49775614.4833567
"155",67246194.512508
"156",66001046.0395382
"157",79844991.155195
"158",82639286.9049431
"159",95715066.9692539
"160",50391266.4150485
