"","x"
"1",43394369.7033187
"2",24012928.8987685
"3",32037810.1134068
"4",18750164.5304927
"5",39100713.2707366
"6",24854848.9380444
"7",21885399.2411283
"8",19115926.6726973
"9",17264873.7024511
"10",14157950.8708639
"11",36487586.3287563
"12",21881330.5717939
"13",8080804.74461085
"14",18795716.5953226
"15",12223947.9411146
"16",29296912.9467194
"17",28950886.4051722
"18",22836466.6285402
"19",19194734.6301795
"20",60023397.1484831
"21",27497624.5377535
"22",26616716.0594446
"23",22154266.3587176
"24",21755665.4723217
"25",22962167.4678898
"26",25284819.1338018
"27",10842963.1286021
"28",18702460.085106
"29",32426339.7149379
"30",46655396.0854221
"31",64184654.3749162
"32",62899569.2896305
"33",70266573.4107748
"34",52400558.1499467
"35",60969522.2464082
"36",67173347.0432966
"37",54305767.9005661
"38",76116956.5051015
"39",50622026.8258919
"40",60148710.2796478
"41",59315979.812673
"42",40510372.9920661
"43",47593318.0326142
"44",43327657.794659
"45",15306568.4506848
"46",11349965.4427077
"47",24803368.0503355
"48",47563509.9504371
"49",55047172.1653129
"50",38470539.6643784
"51",30578015.0429242
"52",13848628.1146126
"53",42308628.8361081
"54",29671391.4254486
"55",17129700.3023762
"56",25806830.9206293
"57",30561097.8835131
"58",44738278.8244427
"59",27859848.2229094
"60",39934513.064719
"61",16272757.9993462
"62",21379092.841517
"63",11318631.1076301
"64",39425866.9083455
"65",32394028.2569979
"66",22852151.8714047
"67",22258852.5414204
"68",55451087.1460489
"69",69607797.3060367
"70",62787074.3263598
"71",41273028.9242248
"72",25686801.938048
"73",19272488.353813
"74",26265841.9828906
"75",25610503.6907424
"76",31805325.1997742
"77",31109665.3031028
"78",50074238.4672217
"79",58399813.4957148
"80",43066925.0467527
"81",34320440.9665122
"82",52937832.0639728
"83",33850335.6306879
"84",25520860.9756331
"85",17115758.3868569
"86",24580869.0927756
"87",22111430.753636
"88",6001601.22562978
"89",8271194.34432243
"90",3675097.31438269
"91",7133706.8932026
"92",18695444.6271774
"93",13593693.4901919
"94",9742301.0218819
"95",9918017.39842018
"96",7760190.22597447
"97",9942752.40293699
"98",17220858.4063795
"99",5532796.03352538
"100",26355613.0176077
"101",10415603.640306
"102",8574738.74553936
"103",9081170.78897766
"104",9445862.860793
"105",8173403.80377794
"106",15240390.0125832
"107",10285197.6409408
"108",7165656.84714528
"109",14396467.938541
"110",31524389.2488417
"111",60298266.2387074
"112",49493780.7826899
"113",29331261.7288135
"114",49714470.063164
"115",34741068.7200046
"116",12189609.0640291
"117",15062834.0726429
"118",20191178.7511862
"119",24127315.6722525
"120",12517407.6589122
"121",5035336.26868246
"122",8869245.19477987
"123",14893743.9034474
"124",11849304.8673768
"125",12644179.9406894
"126",12975269.4693181
"127",26385646.2226456
"128",17302741.3574974
"129",21120060.4363408
"130",30803386.2718124
"131",33223816.6424116
"132",16981130.2122032
"133",6014876.94279076
"134",20307009.2070009
"135",19829475.3727857
"136",43589253.1063534
"137",48374780.6652878
"138",33273890.0160783
"139",37941620.8838949
"140",49570680.0242272
"141",41044825.1728914
"142",35791614.1462488
"143",26115065.2306617
"144",28008850.6283373
"145",26655416.3402374
"146",11046192.5780776
"147",20116304.2508274
"148",18537917.1177954
"149",25222679.2003573
"150",24409789.6019364
"151",24716257.2398938
"152",20279812.5554706
"153",12401047.2320475
"154",13815502.3884405
"155",13075900.8060285
"156",24359686.1528428
"157",39933476.2698391
"158",37617956.8978384
"159",59402268.5027574
"160",32593169.3423413
