"","x"
"1",38953.1141868512
"2",38953.1141868512
"3",49490.4228395062
"4",62146.3490304709
"5",62146.3490304709
"6",60005.0475
"7",60005.0475
"8",63035.0415512465
"9",63035.0415512465
"10",60236.015
"11",60468.0110803324
"12",52241.32421875
"13",47095.0432098765
"14",50137.984375
"15",47212.7067901235
"16",45341.4127423823
"17",45341.4127423823
"18",46237.9944598338
"19",43456.7392290249
"20",33139.8393351801
"21",34370.987654321
"22",36271.8408304498
"23",36687.046875
"24",34198.5408163265
"25",32159.6977777778
"26",34041.4674556213
"27",33585.8826530612
"28",36374.79296875
"29",39673.9022222222
"30",39673.9022222222
"31",41900.0859375
"32",43597.8222222222
"33",45461.9783950617
"34",45461.9783950617
"35",44212.5429362881
"36",44212.5429362881
"37",44212.5429362881
"38",44186.3875
"39",44186.3875
"40",41512.9972299169
"41",36340.0802469136
"42",42055.8577777778
"43",46536.9846938776
"44",21633.1530612245
"45",11220.0867346939
"46",18242.3359375
"47",17863.3462603878
"48",18970.1285444234
"49",19049.6257088847
"50",18978.4834710744
"51",19494.6280991736
"52",19721.4016620499
"53",16414.6893424036
"54",16077.6011080332
"55",14746.44
"56",12561.0617283951
"57",11744.5532879819
"58",11022.5243055556
"59",10587.9722222222
"60",10379.536
"61",8864.7488
"62",8082.77882797731
"63",3681.54132231405
"64",3505.32325141777
"65",3287.38194444444
"66",3301.30434782609
"67",3301.30434782609
"68",3322.33270321361
"69",3322.33270321361
"70",3471.4979338843
"71",3471.4979338843
"72",533.412742382271
"73",5900.35
"74",5628.01814058957
"75",5387.52892561983
"76",5387.52892561983
"77",5187.82986767486
"78",5187.82986767486
"79",5187.82986767486
"80",5187.82986767486
"81",5187.82986767486
"82",5047.82638888889
"83",5245.19848771267
"84",5245.19848771267
"85",5450.47314049587
"86",3416.3975
"87",3416.3975
"88",22444.5375
"89",35327.5375
"90",36729.4958448754
"91",41399.2041522491
"92",43488.71875
"93",27912.7455621302
"94",62669.7716262976
"95",75548.892733564
"96",81967.8775510204
"97",73515.2733564014
"98",74351.0795847751
"99",73368.1913580247
"100",69908.3671875
"101",70835.91796875
"102",70364.2006920415
"103",67066.7555555556
"104",59963.225308642
"105",51135.0242214533
"106",46270.48046875
"107",31736.3288888889
"108",29592.5
"109",29132.9166666667
"110",28866.8456790123
"111",28368.3364197531
"112",27308.1385041551
"113",29556.4844290657
"114",29556.4844290657
"115",13219.1626297578
"116",12168.2448979592
"117",13309.2421875
"118",12967.55859375
"119",11855.48046875
"120",11855.48046875
"121",26646.2993827161
"122",42654.8179012346
"123",50159.7577854671
"124",48117.8086419753
"125",48117.8086419753
"126",46461.2160493827
"127",56692.3656509695
"128",80756.4845679013
"129",80031.2525951557
"130",79803.2456747405
"131",87513.6055363322
"132",85212.4705882353
"133",83596.2352941177
"134",84030.0069204152
"135",84030.0069204152
"136",88481.0222222222
"137",80796.4183673469
"138",81318.0972222222
"139",81318.0972222222
"140",61010.5688888889
"141",46224.3905325444
"142",42726.87109375
"143",42726.87109375
"144",34956.401384083
"145",28479.2802768166
"146",35565.8060941828
"147",38528.195
"148",38528.195
"149",34885.201814059
"150",35112.8960302457
"151",32949.4380165289
"152",32056.6540642722
"153",24624.4807256236
"154",26406.0895061728
"155",30843.0839002268
"156",27813.595567867
"157",28048.9290123457
"158",29184.3324099723
"159",26584.0875
"160",25732.8305785124
"161",24921.1776859504
"162",32364.5519848771
"163",30331.4008264463
"164",28309.0330578513
"165",27771.2930056711
"166",27294.5381944444
"167",20849.3802083333
"168",20632
"169",28289.8752362949
"170",27655.4706994329
"171",28144.7599243856
"172",28394.173553719
"173",28394.173553719
"174",25855.7520661157
"175",15992.5650969529
"176",16278.47
"177",15913.7789256198
"178",23092.820861678
"179",21768.4234404537
"180",21405.9861111111
"181",22102.8733459357
"182",21759.3159722222
"183",21759.3159722222
"184",15534.1260330579
"185",15667.6235827664
"186",21854.9024943311
"187",23700.3456790123
"188",22135.84
"189",21486.17
"190",21486.17
"191",21134.2902494331
"192",21134.2902494331
"193",22504.58
"194",21445.0555555556
"195",21098.34
"196",20397.7097505669
"197",20397.7097505669
"198",15413.875
"199",15064.76171875
"200",13731.8725761773
"201",13842.6875
"202",15908.9375
"203",18707.6105860113
"204",18613.5392561984
"205",19082.3990929705
"206",22910.4265927978
"207",19838.5935727788
"208",19233.2154195011
"209",20241.1523545706
"210",19927.0249433107
"211",17500.1675
"212",17500.1675
"213",18699.7369614512
"214",19691.8663194444
"215",20837.847107438
"216",21455.8231292517
"217",21106.9614512472
"218",21331.135
"219",20281.3015873016
"220",19563.1425619835
"221",20324.3446712018
"222",21209.5675
"223",19382.2216066482
"224",18744.9916897507
"225",19591.8395061728
"226",19520.3888888889
"227",11448.921875
"228",11448.921875
"229",11039.044982699
"230",10667.4186851211
"231",10667.4186851211
"232",11229.62109375
"233",11229.62109375
"234",11505.62109375
"235",11056.8096885813
"236",11546.8622222222
"237",15229.7728531856
"238",15883.3074792244
"239",14710.9382716049
"240",14710.9382716049
"241",17820.9166666667
"242",16928.9529085873
"243",23117.3242630385
"244",24843.3106575964
"245",24356.0907029479
"246",23414.0599173554
"247",20000.8199445983
"248",19183.2107438017
"249",19941.3151927438
"250",20581.9075
"251",20973.1855955679
"252",30052.795
"253",25994.3858024691
"254",26375.9166666666
"255",30301.0083102493
"256",30868.1265432099
"257",33816.6260387812
"258",33816.6260387812
"259",26542.46484375
"260",26462.9296875
"261",28158.7377777778
"262",31116.5777777778
"263",33625.6888888889
"264",39020.79296875
"265",37128.5328719723
"266",36196.1882716049
"267",37917.0401234568
"268",33824.1790123457
"269",32676.9362880886
"270",31506.7845804989
"271",29569.4875
"272",45147.3106575964
"273",39233.5709342561
"274",37060.7067901235
"275",35447.8227146814
"276",32198.1882716049
"277",37849.6157024793
"278",37849.6157024793
"279",41389.2675
"280",42192.271468144
"281",37220.8809073724
"282",40182.3990929705
"283",39362.8476454294
"284",35274.7202216066
"285",33779.9375
"286",36624.7845804989
"287",38117.4175
"288",38117.4175
"289",39917.6288088643
"290",40421.6177285319
"291",39344.1591695502
"292",41450.27734375
"293",45084.556122449
"294",42455.1358024691
"295",38909.8175
"296",40932.7700831025
"297",19640.5777777778
"298",21016.1479591837
"299",18043.1111111111
"300",40440.6577777778
"301",38389.60546875
"302",36472.2214532872
"303",36472.2214532872
"304",36234.7958477509
"305",36234.7958477509
"306",39163.8725761773
"307",41055.4506172839
"308",43106.6920415225
"309",39323.3185595568
"310",53240.0110803324
"311",58433.8823529412
"312",57774.6844444445
"313",53280.6484375
"314",37135.3777777778
"315",51007.9113573407
"316",52890.7777777778
"317",56140.6989619377
"318",41151.4012345679
"319",37436.1875
"320",37436.1875
"321",37574.3990929705
"322",36213.8005540166
"323",35154.4636678201
"324",14613.1301939058
"325",13106.5328719723
"326",12861.2742382271
"327",12460.295
"328",22835.3161157025
"329",22443.7075
"330",23223.6288088643
"331",19727.1493383743
"332",10100.8925619835
"333",4864.8275
"334",6622.46537396122
"335",17319.2797783934
"336",21271.4072022161
"337",21271.4072022161
"338",23510.4819944598
"339",23510.4819944598
"340",23510.4819944598
"341",24305.9778393352
"342",24305.9778393352
"343",24473.8950617284
"344",25463.6343490305
"345",25463.6343490305
"346",24303.4
"347",22320.7479338843
"348",23272.1451247165
"349",22299.1575
"350",26111.6066481994
"351",23063.4173553719
"352",19782.6675
"353",20744.4819944598
"354",22568.7313019391
"355",23709.1172839506
"356",11436.235
"357",11436.235
"358",11436.235
"359",11060.566893424
"360",10947.995
"361",9758.12456747405
"362",11401.0415512465
"363",10772.7335640138
"364",9245.2475
"365",6542.4075
"366",6301.32879818594
"367",6206.97052154195
"368",5012.5888429752
"369",4860.98347107438
"370",4492.98347107438
"371",13559.4648760331
"372",12987.8147448015
"373",13544.0950413223
"374",13544.0950413223
"375",13505.7520661157
"376",15562.3194444444
"377",16221.1417769376
"378",17148.4710743802
"379",17043.6549586777
"380",13638.9876033058
"381",13638.9876033058
"382",14160.1315192744
"383",15030.4990548204
"384",13854.72
"385",14410.3263888889
"386",14410.3263888889
"387",15011.4858223062
"388",18294.6996527778
"389",18294.6996527778
"390",19061.2438563327
"391",19061.2438563327
"392",15658.5429362881
"393",1613.26222222222
"394",1553.1796875
"395",1628.70222222222
"396",1475.05555555556
"397",1413.36332179931
"398",9329.11419753087
"399",14518.0061728395
"400",14518.0061728395
"401",18315.7673130194
"402",11314.0308641975
"403",11314.0308641975
"404",15094.7392290249
"405",15621.8175
"406",13155.6262975779
"407",15903.3628808864
"408",10541.4349030471
"409",14206.9012345679
"410",21909.6332179931
"411",19060.8875
"412",21065.8282548476
"413",20176
"414",26259.0294784581
"415",27700.035
"416",21920.375
"417",23074.7120181406
"418",22482.9462809917
"419",29323.8884297521
"420",30804.2902494331
"421",35312.5555555556
"422",35554.1419753086
"423",21720.60546875
"424",42200.6077097506
"425",43968.1575
"426",47177.4948096886
"427",55632.9413580247
"428",55632.9413580247
"429",55078.4930747923
"430",54627.1675
"431",53615.7541322314
"432",55952.9206349206
"433",58637.2975
"434",56526.2585034014
"435",57727.0926275993
"436",45683.728531856
"437",43573.6454293629
"438",41861.3922902494
"439",41861.3922902494
"440",34702.6848072562
"441",58935.9938016529
"442",58869.9546485261
"443",59551.3475
"444",62269.515
"445",66039.15
"446",71779.8549382716
"447",65001.0875
"448",57705.8546712803
"449",63830.9197530864
"450",73802.6790123457
"451",88228.2844444444
"452",88604.0888888889
"453",83560.55859375
"454",79056.8333333333
"455",74935.7396121884
"456",75841.049382716
"457",68839.575
"458",67938.1632653061
"459",66586.755
"460",61058.0761245675
"461",63014.8975069252
"462",64205.7438271605
"463",67767.51
"464",67767.51
"465",67767.51
"466",74096.3209876543
"467",74741.3641975309
"468",80851.4875
"469",77990.7800453515
"470",79856.2
"471",91342.484375
"472",73316.6224489796
"473",71035.0311111111
"474",76832.8235294118
"475",70364.9639889197
"476",70973.4072022161
"477",70973.4072022161
"478",68624.6848072562
"479",66592.3801652892
"480",59953.9501385042
"481",42300.6543209877
"482",42313.5
"483",40089.7673130194
"484",41936.2267573696
"485",41936.2267573696
"486",41936.2267573696
"487",41756.6652892562
"488",43227.0022675737
"489",44808.58
"490",17275.6897506925
"491",18149.1882716049
"492",20558.1388888889
"493",14401.9375
"494",12021.41796875
"495",38557.1487889273
"496",57640.9290123457
"497",54865.0360110803
"498",56262.2675
"499",54514.716553288
"500",71804.10430839
"501",71804.10430839
"502",93942.175
"503",86918.1838842975
"504",90014.3083900227
"505",88665.635
"506",90872.3268698061
"507",79272.9567901235
"508",79272.9567901235
"509",82347.6193771626
"510",45092.8
"511",88010.25
"512",103241.702422145
"513",103991.653979239
"514",108911.067901235
"515",101268.944444444
"516",105565.494809689
"517",110703.04296875
"518",110726.686980609
"519",120215.861495845
"520",109965.6975
"521",108249.077160494
"522",108249.077160494
"523",101757.266435986
"524",99398.6782006921
"525",115278.13671875
"526",112751.737024221
"527",112751.737024221
"528",114390.422145329
"529",117147.015432099
"530",123785.82
"531",122313.882086168
"532",118462.7675
"533",114240.975308642
"534",105722.186851211
"535",115764.138888889
"536",105854.692041522
"537",125047.447530864
"538",121932.459833795
"539",121932.459833795
"540",103026.04432133
"541",117086.155124654
"542",113745.195
"543",113325.375
"544",120971.83933518
"545",126068.00308642
"546",129425.169550173
"547",116971.40234375
"548",103686.40234375
"549",70605.9382716049
"550",91326.355
"551",117112.8
"552",123632.29338843
"553",123632.29338843
"554",123632.29338843
"555",123660.1475
"556",125829.188208617
"557",127185.560090703
"558",128908.308390023
"559",108411.5475
"560",119480.75900277
"561",116649.052469136
"562",95498.524691358
"563",100464.941176471
"564",106298.546875
"565",112222.888888889
"566",110676.740484429
"567",120385.271111111
"568",131057.4296875
"569",136081.671111111
"570",128904.166089965
"571",128904.166089965
"572",128904.166089965
"573",109843.808641975
"574",105188.740484429
"575",100721.929012346
"576",106256.906574394
"577",120666.225308642
"578",111142.935
"579",111142.935
"580",124931.58276644
"581",124931.58276644
"582",134394.254847645
"583",138924.364197531
"584",138924.364197531
"585",141891.647058824
"586",143457.335640138
"587",133598.734375
"588",131263.921875
"589",107613.85546875
"590",106587.244444444
"591",98880.9204152249
"592",95421.4475308642
"593",95421.4475308642
"594",98306.892733564
"595",98928.3611111111
"596",98628.4691358025
"597",98628.4691358025
"598",98732.8271604938
"599",91737.3696145125
"600",91737.3696145125
"601",95584.9575
"602",79224.7283950618
"603",88184.339100346
"604",94447.8209876543
"605",97694.9688581315
"606",92687.3611111111
"607",113584.227146814
"608",117874.567474048
"609",113671.743827161
"610",119057.982222222
"611",119057.982222222
"612",113981.90234375
"613",105887.048888889
"614",100948.62109375
"615",97167.234375
"616",93948.4152249135
"617",89748.5802469136
"618",66216.3529411765
"619",70800.16796875
"620",88793.0277777778
"621",108218.891975309
"622",103920.376731302
"623",85913.0304709141
"624",102198.03
"625",102198.03
"626",85503.08033241
"627",113093.191358025
"628",99905.7508650519
"629",94510.5041551246
"630",107679.678004535
"631",92443.3961218836
"632",113627.501385042
"633",113627.501385042
"634",113627.501385042
"635",113627.501385042
"636",113627.501385042
"637",113627.501385042
"638",118221.067901235
"639",114727.734072022
"640",110089.9075
"641",110089.9075
"642",93917.6897506925
"643",98523.2283950617
"644",93398.3213296399
"645",98132.9290123457
"646",98236.5308641975
"647",98236.5308641975
"648",69078.938271605
"649",69078.938271605
"650",69078.938271605
"651",69078.938271605
"652",69217.3641975309
"653",71796.830449827
"654",71468.6796875
"655",67780.9480968858
"656",65458.0524691358
"657",37494.9273356401
"658",37277.1728395062
"659",37277.1728395062
"660",37204.9197530864
"661",35304.188365651
"662",35304.188365651
"663",37015.8086419753
"664",37175.5294117647
"665",38262.8671875
"666",31584.895
"667",2313.38504155125
"668",2313.38504155125
"669",2313.38504155125
"670",2313.38504155125
"671",2000.5987654321
"672",2033.73010380623
"673",2283.0875
"674",2283.0875
"675",10769.975
"676",10773.1475
"677",12300.15234375
"678",16538.426035503
"679",18968.6863905325
"680",14542.8333333333
"681",11218.3125
"682",14837.2802768166
"683",14625.3117283951
"684",12038.9030470914
"685",10271.3739612188
"686",14020.022675737
"687",11688.2267573696
"688",10795.421875
"689",9793.26234567901
"690",20740.08
"691",23225.7439446367
"692",29572.66796875
"693",33756.3520408163
"694",35302.0968858132
"695",35315.4671280277
"696",34573.7063711911
"697",27336.39
"698",26590.7256235828
"699",15104.8975
"700",9696.47222222222
"701",9727.17283950617
"702",8870.46258503401
"703",8377.81405895692
"704",8377.81405895692
"705",8445.7052154195
"706",8099.65289256198
"707",8099.97520661157
"708",8881.5512465374
"709",1131.47922437673
"710",1131.47922437673
"711",24815.5900277008
"712",23599.0875
"713",38619.0875
"714",35918.5123966942
"715",35918.5123966942
"716",34514.4952741021
"717",34547.9470699433
"718",36024.3719008264
"719",36024.3719008264
"720",36024.3719008264
"721",36024.3719008264
"722",39432.99
"723",17174.9160997732
"724",40030.555785124
"725",41788.0816326531
"726",47231.9002770083
"727",47231.9002770083
"728",55946.6604938272
"729",53258.487534626
"730",53229.7119113573
"731",53229.7119113573
"732",53866.4930747922
"733",54839.555
"734",67208.5546875
"735",66531.2222222222
"736",66531.2222222222
"737",90561.1349480969
"738",90561.1349480969
"739",89117.4325259516
"740",70028.6228373702
"741",43693.8131487889
"742",52361.9279778393
"743",52361.9279778393
"744",55267.0385487528
"745",58686.10430839
"746",62974.2766439909
"747",62974.2766439909
"748",62402.0045351474
"749",63781.5144628099
"750",58382.2275
"751",60037.0385487528
"752",63342.8698347107
"753",65275.9455782313
"754",62713.379501385
"755",58560.1730103806
"756",64145.6731301939
"757",62783.9382716049
"758",62783.9382716049
"759",62783.9382716049
"760",61324.4982698962
"761",58086.4475308642
"762",61190.3111111111
"763",51607.4969135803
"764",51987.2871972318
"765",46318.7475
"766",42419.0249307479
"767",40758.262345679
"768",40828.0617283951
"769",43200.1660899654
"770",36226.1604938272
"771",31328.0069204152
"772",49073.4256055363
"773",39503.0304709141
"774",61873.7396121884
"775",61873.7396121884
"776",56133.83
"777",58941.3275
"778",56903.9002770083
"779",56519.9168975069
"780",53833.82
"781",51877.8347107438
"782",38613.3378684807
"783",36925.8375
"784",38484.5041551247
"785",43970.2716049383
"786",36581.5723140496
"787",37855.4784580499
"788",36275.4483471074
"789",36275.4483471074
"790",41943.475
"791",22169.095
"792",20359.6962809917
"793",21153.3106575964
"794",23110.7645429363
"795",22842.7590027701
"796",27771.575
"797",20634.175
"798",20634.175
"799",23435.3351800554
"800",33779.4809688581
"801",33779.4809688581
"802",38163.9445983379
"803",38332.485260771
"804",33552.5775
"805",33958.0030864198
"806",31532.4275
"807",31041.1246537396
"808",32385.2530864198
"809",32353.9783950617
"810",31074.3734567901
"811",29935.6565096953
"812",28969.8179012346
"813",27980.8088642659
"814",33506.275
"815",38107.1644612476
"816",38151.0975056689
"817",30038.4775
"818",29730.947845805
"819",28380.8037190083
"820",29046.17
"821",28208.235
"822",28409.8024691358
"823",26444.1859410431
"824",17366.1133786848
"825",17366.1133786848
"826",16778.382231405
"827",17527.4175
